_startDate,_endDate,_value
2021-03-23 09:23:36 +0200,2021-03-23 09:25:29 +0200,0
2021-03-23 10:47:47 +0200,2021-03-23 10:48:12 +0200,0
2021-03-23 11:46:58 +0200,2021-03-23 11:47:33 +0200,0
2021-03-23 12:16:21 +0200,2021-03-23 12:18:01 +0200,0
2021-03-23 12:45:40 +0200,2021-03-23 12:46:14 +0200,0.03
2021-03-23 12:59:50 +0200,2021-03-23 13:00:12 +0200,0
2021-03-23 13:02:02 +0200,2021-03-23 13:02:26 +0200,0
2021-03-23 13:08:05 +0200,2021-03-23 13:08:51 +0200,0.03
2021-03-23 13:42:17 +0200,2021-03-23 13:43:25 +0200,0
2021-03-23 15:28:36 +0200,2021-03-23 15:29:32 +0200,0
2021-03-23 16:15:26 +0200,2021-03-23 16:16:53 +0200,0
2021-03-23 16:17:42 +0200,2021-03-23 16:18:20 +0200,0
2021-03-23 16:29:25 +0200,2021-03-23 16:30:17 +0200,0
2021-03-23 17:39:26 +0200,2021-03-23 17:39:36 +0200,0
2021-03-23 18:09:58 +0200,2021-03-23 18:14:51 +0200,0.01
2021-03-24 01:39:07 +0200,2021-03-24 01:41:02 +0200,0
2021-03-24 02:23:47 +0200,2021-03-24 02:24:07 +0200,0.09
2021-03-24 18:32:29 +0200,2021-03-24 18:33:06 +0200,0.12
2021-03-25 10:18:38 +0200,2021-03-25 10:23:38 +0200,0
2021-03-25 10:49:57 +0200,2021-03-25 10:50:22 +0200,0
2021-03-25 11:05:05 +0200,2021-03-25 11:05:58 +0200,0
2021-03-25 12:29:01 +0200,2021-03-25 12:30:43 +0200,0
2021-03-25 12:49:27 +0200,2021-03-25 12:52:45 +0200,0
2021-03-25 12:59:46 +0200,2021-03-25 13:00:15 +0200,0
2021-03-25 13:04:15 +0200,2021-03-25 13:04:32 +0200,0
2021-03-25 13:11:05 +0200,2021-03-25 13:11:36 +0200,0
2021-03-25 13:49:51 +0200,2021-03-25 13:50:17 +0200,0
2021-03-25 14:05:50 +0200,2021-03-25 14:06:50 +0200,0.04
2021-03-25 14:16:53 +0200,2021-03-25 14:20:30 +0200,0
2021-03-25 14:27:42 +0200,2021-03-25 14:28:31 +0200,0
2021-03-25 16:05:51 +0200,2021-03-25 16:06:14 +0200,0.08
2021-03-25 17:36:17 +0200,2021-03-25 17:36:38 +0200,0.07
2021-03-25 17:52:41 +0200,2021-03-25 17:56:06 +0200,0
2021-03-25 17:56:46 +0200,2021-03-25 17:58:21 +0200,0
2021-03-25 18:32:31 +0200,2021-03-25 18:34:30 +0200,0
2021-03-25 19:05:48 +0200,2021-03-25 19:06:05 +0200,0.1
